,subgenre,artist_id,artist,popularity,followers,genre
0,electroclash,6TsAG8Ve1icEC8ydeHm3C8,Snow Strippers,68,188890,Electronic
1,cloud rap,3hGJ4nHdF99Vs0gQdXz5Nw,smokedope2016,55,68128,Rap
2,darkwave,62s5q1tm3UAcRnbGY9CCI9,Provoker,49,62967,Alternative Rock
3,lo-fi house,6G01WYFYF91rjG5LtwMhY4,1tbsp,47,31722,House
4,midwest emo,2CnhqfjUG0qzsru0SMuhrk,Title Fight,65,508715,Alternative Rock
5,eurotrance,0HHa7ZJZxUQlg5l2mB0N0f,Marlon Hoffstadt,64,135316,Dance
6,cloud rap,3uo0ix4Y67XHVWBhXXIY1S,Xavier Wulf,71,1056147,Rap
7,hyperpop,72NhFAGG5Pt91VbheJeEPG,2hollis,62,176101,Electronic
8,eurotrance,1vK8NnrPlBlF34LaiFX1SK,Funk Tribu,56,86282,Dance
9,techno,5Ho1vKl1Uz8bJlk4vbmvmf,Amelie Lens,55,652096,Techno
10,jazz rap,3Rq3YOF9YG9YfCWD4D56RZ,Nujabes,66,1287503,Jazz
11,jazz rap,6AE5XsUcbWE2XrQccVVJyd,Uyama Hiroto,48,105673,Jazz
12,stutter house,4oLeXFyACqeem2VImYeBFe,Fred again..,78,1836049,House
13,indie,0U7iI0Dk4Ojvi17nZboNO4,Vacations,73,1264239,Indie
14,eurotrance,5tcwaJBUyEdxQxvieuQxU7,DJ HEARTSTRING,55,76949,Dance
15,eurotrance,5w2AnakbHiabcr3RZPLqr5,Butschi,35,7858,Dance
16,reggae,2QsynagSdAqZj3U9HgDzjD,Bob Marley & The Wailers,80,12936295,Reggae
17,indie,3XxNRirzbjfLdDli06zMaB,Eyedress,75,2391738,Indie
18,lo-fi house,0nx9ai3o3Ba6bE3WHkEoQg,DJ Planet Express,40,12924,House
19,melodic rap,757aE44tKEUQEqRuT6GnEB,Roddy Ricch,78,11141559,Rap
20,dubstep,5he5w2lnU9x7JFhnwcekXX,Skrillex,75,7664259,Electronic
21,indie,3OykSjAE6F2Mb51WplFoRk,WILLIS,56,155218,Indie
22,hard house,2A4uiWrfuBpVFugyvxAt4c,Pegassi,45,20823,Dance
23,pop punk,6FBDaR13swtiWwGhX1WQsP,blink-182,78,8761646,Punk
24,breakcore,39kuwM2oBNmrM3kEYVmk2X,TOKYOPILL,49,114752,Electronic
25,reggae rock,0EdvGhlC1FkGItLOWQzG4J,Sublime,72,3063009,Reggae
26,bedroom pop,3zmfs9cQwzJl575W1ZYXeT,Men I Trust,71,2068231,Indie
27,lo-fi house,6KkltYAOOGsCaW7dO9jF98,Pretty Girl,42,27488,House
28,rap,6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad,69,1524293,Rap
29,cloud rap,5vSQUyT33qxr1xAX2Tkf3A,Clams Casino,71,337889,Electronic
30,cloud rap,6TxY5T8v9RjF7Ry4XQvWT5,Chris Travis,66,516439,Rap
31,rage rap,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,88,12871047,Rap
32,soul,4596e2d3KmYzAeVenjCxfj,Free Nationals,61,332853,Soul
33,hard house,50udUOTR7dQUgyPwPuCLM6,Malugi,51,24334,Dance
34,cloud rap,2xvtxDNInKDV4AvGmjw6d1,Bladee,68,553384,Electronic
35,electronic,6qgnBH6iDM91ipVXv28OMu,KAYTRANADA,72,1632107,Electronic
36,nu metal,6Ghvu1VvMGScGpOUJBAHNH,Deftones,81,6440154,Alternative Rock
37,hip hop,2P5sC9cVZDToPxyomzF1UH,Joey Bada$$,73,3663160,Rap
38,lo-fi house,7yF6JnFPDzgml2Ytkyl5D7,Mall Grab,55,250513,House
39,indie,1jsT4oqnLcCax2grWbuhL6,The Simps,51,89681,Indie
40,eurotrance,540RtWfpQokIlaRgMDjU9v,TDJ,39,17004,Dance
41,shoegaze,6ROfszneZDogjnbgqkxA7E,Midrift,60,102904,Alternative Rock
42,shoegaze,3TJZG17pjOKXwx1ELKJPfm,Wisp,64,446144,Alternative Rock
43,rap,13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,85,15739807,Rap
44,punk rap,6fxyWrfmjcbj5d12gXeiNV,Denzel Curry,74,2719702,Punk
45,melodic house,27gtK7m9vYwCyJ04zz0kIb,Lane 8,60,429740,House
46,french house,4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,82,10406305,Electronic
47,rap,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,74,6026692,Rap
48,riddim,3NJ94iuAmmMjbszODYT6pO,Subtronics,63,357994,Electronic
49,eurotrance,5ye3YheRaIaodo3nid7Wxz,Upper90,41,7746,Dance
50,psytrance,2iKMTi2SXZWsGbl8LI8OSV,Jay Selway,1,118,Dance
51,breakcore,30F64wQIHvLiFTGaNZ73nU,Sewerslvt,57,372131,Electronic
52,cloud rap,5tQMB0cuNXdCtzovGt55uD,LUCKI,79,1427571,Rap
53,cloud rap,56zdYcwtmdYq3WlBYQeHoA,DJmegan23,47,25782,Electronic
54,eurotrance,2b1Yc522In2BV3Q1fj2JzY,DATSKO,48,8618,House
55,shoegaze,3ysp8GwsheDcBxP9q65lBg,Lush,47,265047,Alternative Rock
