,track_id,track,artist,artist_id
0,0tgAhrvNPhSyMZR0wWbv6Z,#1 Freak (feat. Ty Dolla $ign),Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq
1,5fupW8u36XYYlA9IEQI4LJ,#TWITCHING,DJmegan23,56zdYcwtmdYq3WlBYQeHoA
2,1TkWsnheqK0gBtvh07BtNX,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL
3,1TkWsnheqK0gBtvh07BtNX,$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),Rich Homie Quan,5lHRUCqkQZCIWeX7xG4sYT
4,5gmkw2031VVIboYqPIjSWB,1 Scale (feat. G Herbo),G Herbo,5QdEbQJ3ylBnc3gsIASAT5
5,4IhCpufYdnbCIjwWw7tqty,"1, 2 Step - DJ HEARTSTRING Remix",DJ HEARTSTRING,5tcwaJBUyEdxQxvieuQxU7
6,41SwdQIX8Hy2u6fuEDgvWr,10% (feat. Kali Uchis),Kali Uchis,1U1el3k54VvEUzo3ybLPlM
7,4T2dHb8XBYHlVj7Dyo1cW9,100 Racks (Offset feat. Playboi Carti),Offset,4DdkRBBYG6Yk9Ka8tdJ9BW
8,4T2dHb8XBYHlVj7Dyo1cW9,100 Racks (Offset feat. Playboi Carti),Playboi Carti,699OTQXzgjhIYAHMy9RyPD
9,58Zrwv2urNcl404kX6HsAS,12 Stout Street,Gud,3lyW79oolCj6PAaLUqnze5
10,1p1b9LdLJ0REuFJX9mYtFX,1985,The Alchemist,0eVyjRhzZKke2KFYTcDkeu
11,33kxO1CGKUz6LFcmKoEVOw,1998 - Kay Cee 1999 Radio Mix,Kay Cee,3KSiu8Ts5UX6aLYll8TDiL
12,0Yi9DtLGFiZ62OMHOo2qIm,1WayTicket,BONES,5v2WhpA59TJSdPh7LCx1lN
13,3ggelcl5Skip0HoiaJwkxm,2007,1tbsp,6G01WYFYF91rjG5LtwMhY4
14,6oN59eTvJuQawpP9ztlUdv,2007,snowy sky,5cRYwbM6xf3UetokVQfjqi
15,7F6JQLs6VwNEctUE8mdS9k,2016 (feat. Laker),Laker,4lExj6JVOUnxR9epOMvyd1
16,5sxRbu2Oi9lgmLO8taA3Rf,"327 (feat. Tyler, The Creator & Billie Essco)",Joey Bada$$,2P5sC9cVZDToPxyomzF1UH
17,5sxRbu2Oi9lgmLO8taA3Rf,"327 (feat. Tyler, The Creator & Billie Essco)","Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
18,5sxRbu2Oi9lgmLO8taA3Rf,"327 (feat. Tyler, The Creator & Billie Essco)",Billie Essco,53IIk03HWWJ2Z7QwQ9yFHh
19,1mAey8kEPmDM2icL56kS9d,4 Da Gang (with Roddy Ricch),Roddy Ricch,757aE44tKEUQEqRuT6GnEB
20,2WgNZ6sSLeXwgEfXLbHl1h,40oz,Isaiah Rashad,6aaMZ3fcfLv4tEbmY7bjRM
21,1zDwQIp3BgbH9dSmYtPBDH,420 in London,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz
22,1zDwQIp3BgbH9dSmYtPBDH,420 in London,Murda Beatz,3CbYyyd8wH3RT6t0jwpdzC
23,2sUImfbz5cpAW50SiQla4h,4EVA,Aminé,3Gm5F95VdRxW3mqCn8RPBJ
24,2sUImfbz5cpAW50SiQla4h,4EVA,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu
25,2sUImfbz5cpAW50SiQla4h,4EVA,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8
26,2A3eCsmsW5ztqItagBLCVP,4EVR,ISOxo,4zVCMnjw54nkhGHU4e1Pav
27,2A3eCsmsW5ztqItagBLCVP,4EVR,Knock2,6mmSS7itNWKbapgG2eZbIg
28,2A3eCsmsW5ztqItagBLCVP,4EVR,cade clair,0647ep4AirMtU3Iq9YcBXm
29,1F2guay5Aj7XNNvbuCx9p5,4am,CASHFORGOLD,4FzthA7DjutA71z91I1DKX
30,1F2guay5Aj7XNNvbuCx9p5,4am,Sidewalks and Skeletons,48nHO1cuTbpx4ELhChsxX1
31,50abGKjCKNzRFhf3JmSVyL,666,Eyedress,3XxNRirzbjfLdDli06zMaB
32,50abGKjCKNzRFhf3JmSVyL,666,zzzahara,26j38hvhD7PjC0a4EqdaSn
33,1SrgrhsQBQgYgVtWbG68ih,6am (TOKYOPILL REMIX),Young Mooski,3Zoc4cR3DJ9YJX92YfjWyt
34,2lbfCvmKCmsQjBqq8yFlGj,80 Dime Bagz [Boomin' Like Alicia Keys] (feat. Black Kray & Ethelwulf),Black Kray,7EmyqxxYZltYLKFk9sAHzM
35,2lbfCvmKCmsQjBqq8yFlGj,80 Dime Bagz [Boomin' Like Alicia Keys] (feat. Black Kray & Ethelwulf),Ethelwulf,6tslAB6WqW8arQahxMwcrB
36,2sHekv6OdEiO4htSjdB9j4,9 Bridge,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I
37,078lbDGGTqBuTKU3bypXxQ,90 Proof (with J. Cole),J. Cole,6l3HvQ5sa6mXTsMTB19rO5
38,6y2ITFeFYz8N83rTQAhW4m,A Lonely Ravers Anthem,DJ Daddy Trance,4lBSzo2LS8asEzoePv6VLM
39,3fuyYaLhZ2RoP9eWpvfP1H,A New Kind Of Love - Demo,Imogen Heap,6Xb4ezwoAQC4516kI89nWz
40,3fuyYaLhZ2RoP9eWpvfP1H,A New Kind Of Love - Demo,Guy Sigsworth,0uQWT7X0I9Y7zM7WWexpAj
41,2b6tGpbflP62TnzKx9TSDu,A Room Up In The Sky (feat. The Marías),The Marías,2sSGPbdZJkaSE2AbcGOACx
42,7GqWUQv53sNEC7mudubpaq,A-What,ARKEA,598ZvY8cFQtXgFPBSUm28x
43,4OUSf2tqMGciL1g0iiK30l,ACT A DAMN FOOL (with Duke Deuce & Slim Guerilla),Duke Deuce,24zj84GShUIcBQYq6VpOYW
44,4OUSf2tqMGciL1g0iiK30l,ACT A DAMN FOOL (with Duke Deuce & Slim Guerilla),Slim Guerilla,1Odn7pOeUdEoOZeuox6nql
45,5hz0QFBGVqUr96RMJzgJxr,ANOTHA LATE NITE (with 454),454,29fUSOyH1ufr9HZbErHpc4
46,5wr2qcL5WxTMQyiEzQvANe,ART DECO - (TEKKNO),TEKKNO,0aUMVkR8QV0LSdv9VZOATn
47,3ZBSXNYdTZVaBUQI3E2rF6,Above The Clouds,Inspectah Deck,4OBbOrkD4geIjOLrICN3wO
48,5ZUIPLoTLJZrPQh2kFZEUM,Addicted,The Chainsmokers,69GGBxA162lTqCwzJG5jLp
49,5ZUIPLoTLJZrPQh2kFZEUM,Addicted,Ink,4ZhFCxPekpmV12n2xMeF2z
50,5znvNcm0PtwWEuy15ufpQa,Addicted To Bass,Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf
51,3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Anuel AA,2R21vXR83lH98kGeO99Y66
52,3jbT1Y5MoPwEIpZndDDwVq,Adicto (with Anuel AA & Ozuna),Ozuna,1i8SpTcr7yvPOmcqrbnVXY
53,5xyg9Apdd69YZL5K67CIye,Admit It (u dont want 2),I. JORDAN,5RMLpCv3ic2KtGnqJ7eMG4
54,3T6NtWjH6klzhSsAGROlqY,Adrenaline,Amelie Lens,5Ho1vKl1Uz8bJlk4vbmvmf
