,duration_ms,explicit,track_id,track,popularity,album,album_release_date,album_total_tracks,artist,artist_id
0,218500,False,3iRoXGFrF8O0jTul6LAmus,Under Your Spell,78,April Mixtape 3,2023-05-05,16,Snow Strippers,6TsAG8Ve1icEC8ydeHm3C8
1,201034,False,3C4qukRl7kX1wdevwbOudf,Vehicle Dissolve,33,Body Jumper,2021-08-13,13,Provoker,62s5q1tm3UAcRnbGY9CCI9
2,151273,False,4qeIlzP0Z1JFXh0AckDcX8,No Nein,54,No Nein,2023-02-14,1,1tbsp,6G01WYFYF91rjG5LtwMhY4
3,210109,False,0ej3RoZrDPhwQ7A6T8UoIS,Sleeves Touch My Elbows,41,Mosquito Love,2023-08-17,8,1tbsp,6G01WYFYF91rjG5LtwMhY4
4,176306,False,18K49IqrtMHXpXujaKAzsc,Hypernight,41,Hyperview,2015-02-03,10,Title Fight,2CnhqfjUG0qzsru0SMuhrk
5,380200,False,4Q0jlg2a1I28knG8VTCu6Y,Telling You to Love Me,22,Telling You to Love Me,2022-09-23,1,Butschi,5w2AnakbHiabcr3RZPLqr5
6,165066,False,2fDuEgPKlSuaemvZwIaTpY,Sleight Of Hand,26,Demon Compass,2023-10-13,12,Provoker,62s5q1tm3UAcRnbGY9CCI9
7,178937,False,0oACcecqRIuP0vi2wvBq5o,Rose In A Glass,48,Body Jumper,2021-08-13,13,Provoker,62s5q1tm3UAcRnbGY9CCI9
8,63817,True,3iBtk9V7k32rkvE9bSKJWc,gonmakit,46,gonmakit,2024-05-10,1,Brennan Jones,4PaHlM2H2hC3VQV4BfLo4B
9,248084,True,3ep8W5ssk6p2Phcj9xOxZw,Power,37,Shut up Be Quiet,2013-03-03,5,Xavier Wulf,3uo0ix4Y67XHVWBhXXIY1S
10,147234,False,18n0voG6fG03ogJznGiyWD,Just Your Doll,57,Just Your Doll,2023-11-15,1,Snow Strippers,6TsAG8Ve1icEC8ydeHm3C8
11,240480,False,6NqA1KNWIEZh3aocBDtwEX,Lefty,55,Floral Green,2012-09-18,11,Title Fight,2CnhqfjUG0qzsru0SMuhrk
12,151232,False,1fQxT1YDOBjgzMVf8WjZfi,It's A Dream (feat. Lil Uzi Vert),53,April Mixtape 3,2023-05-05,16,Snow Strippers,6TsAG8Ve1icEC8ydeHm3C8
